technique_id,technique,tactics,audit_category,audit_sub_category,event_id
T1564.002,Hidden Users,defense-evasion,Object Access,Registry,4657
T1564.005,Hidden File System,defense-evasion,Object Access,Registry,4657
T1564.006,Run Virtual Instance,defense-evasion,Object Access,Registry,4657
T1569,System Services,execution,Object Access,Registry,4657
T1569.002,Service Execution,execution,Object Access,Registry,4657
T1574,Hijack Execution Flow,persistence; defense-evasion; privilege-escalation,Object Access,Registry,4657
T1574.011,Services Registry Permissions Weakness,persistence; defense-evasion; privilege-escalation,Object Access,Registry,4657
T1574.012,COR_PROFILER,persistence; defense-evasion; privilege-escalation,Object Access,Registry,4657
T1070,Indicator Removal on Host,defense-evasion,Object Access,File System,4660
T1070,Indicator Removal on Host,defense-evasion,Object Access,Registry,4660
T1070.002,Clear Linux or Mac System Logs,defense-evasion,Object Access,File System,4660
T1070.003,Clear Command History,defense-evasion,Object Access,File System,4660
T1070.004,File Deletion,defense-evasion,Object Access,File System,4660
T1112,Modify Registry,defense-evasion,Object Access,Registry,4660
T1485,Data Destruction,impact,Object Access,File System,4660
T1490,Inhibit System Recovery,impact,Object Access,File System,4660
T1554,Compromise Client Software Binary,persistence,Object Access,File System,4660
T1562,Impair Defenses,defense-evasion,Object Access,Registry,4660
T1562.001,Disable or Modify Tools,defense-evasion,Object Access,Registry,4660
T1565,Data Manipulation,impact,Object Access,File System,4660
T1565.001,Stored Data Manipulation,impact,Object Access,File System,4660
T1565.003,Runtime Data Manipulation,impact,Object Access,File System,4660
T1003,OS Credential Dumping,credential-access,DS Access,Directory Service Access,4661
T1003,OS Credential Dumping,credential-access,Object Access,SAM,4661
T1003.002,Security Account Manager,credential-access,Object Access,SAM,4661
T1003.003,NTDS,credential-access,Object Access,SAM,4661
T1003.006,DCSync,credential-access,DS Access,Directory Service Access,4661
T1003.007,Proc Filesystem,credential-access,Object Access,SAM,4661
T1003.008,/etc/passwd and /etc/shadow,credential-access,Object Access,SAM,4661
T1005,Data from Local System,collection,Object Access,SAM,4661
T1011,Exfiltration Over Other Network Medium,exfiltration,Object Access,SAM,4661
T1011.001,Exfiltration Over Bluetooth,exfiltration,Object Access,SAM,4661
T1018,Remote System Discovery,discovery,Object Access,SAM,4661
T1020,Automated Exfiltration,exfiltration,Object Access,SAM,4661
T1025,Data from Removable Media,collection,Object Access,SAM,4661
T1039,Data from Network Shared Drive,collection,Object Access,SAM,4661
T1041,Exfiltration Over C2 Channel,exfiltration,Object Access,SAM,4661
T1048,Exfiltration Over Alternative Protocol,exfiltration,Object Access,SAM,4661
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,exfiltration,Object Access,SAM,4661
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,exfiltration,Object Access,SAM,4661
T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,exfiltration,Object Access,SAM,4661
T1052,Exfiltration Over Physical Medium,exfiltration,Object Access,SAM,4661
T1052.001,Exfiltration over USB,exfiltration,Object Access,SAM,4661
T1074,Data Staged,collection,Object Access,SAM,4661
T1074.001,Local Data Staging,collection,Object Access,SAM,4661
T1074.002,Remote Data Staging,collection,Object Access,SAM,4661
T1087,Account Discovery,discovery,Object Access,SAM,4661
T1087.001,Local Account,discovery,Object Access,SAM,4661
T1091,Replication Through Removable Media,lateral-movement; initial-access,Object Access,SAM,4661
T1114,Email Collection,collection,Object Access,SAM,4661
T1114.001,Local Email Collection,collection,Object Access,SAM,4661
T1119,Automated Collection,collection,Object Access,SAM,4661
T1187,Forced Authentication,credential-access,Object Access,SAM,4661
T1217,Browser Bookmark Discovery,discovery,Object Access,SAM,4661
T1539,Steal Web Session Cookie,credential-access,Object Access,SAM,4661
T1552,Unsecured Credentials,credential-access,Object Access,SAM,4661
T1552.001,Credentials In Files,credential-access,Object Access,SAM,4661
T1552.003,Bash History,credential-access,Object Access,SAM,4661
T1552.004,Private Keys,credential-access,Object Access,SAM,4661
T1552.006,Group Policy Preferences,credential-access,Object Access,SAM,4661
T1552.007,Container API,credential-access,Object Access,SAM,4661
T1555,Credentials from Password Stores,credential-access,Object Access,SAM,4661
T1555.001,Keychain,credential-access,Object Access,SAM,4661
T1555.003,Credentials from Web Browsers,credential-access,Object Access,SAM,4661
T1555.004,Windows Credential Manager,credential-access,Object Access,SAM,4661
T1555.005,Password Managers,credential-access,Object Access,SAM,4661
T1558,Steal or Forge Kerberos Tickets,credential-access,Object Access,SAM,4661
T1567,Exfiltration Over Web Service,exfiltration,Object Access,SAM,4661
T1567.001,Exfiltration to Code Repository,exfiltration,Object Access,SAM,4661
T1567.002,Exfiltration to Cloud Storage,exfiltration,Object Access,SAM,4661
T1615,Group Policy Discovery,discovery,DS Access,Directory Service Access,4661
T1003,OS Credential Dumping,credential-access,DS Access,Directory Service Access,4662
T1003.006,DCSync,credential-access,DS Access,Directory Service Access,4662
T1615,Group Policy Discovery,discovery,DS Access,Directory Service Access,4662
T1003,OS Credential Dumping,credential-access,Object Access,File System,4663
T1003,OS Credential Dumping,credential-access,Object Access,Kernel Object,4663
T1003,OS Credential Dumping,credential-access,Object Access,Registry,4663
T1003.001,LSASS Memory,credential-access,Object Access,Kernel Object,4663
T1003.002,Security Account Manager,credential-access,Object Access,File System,4663
T1003.002,Security Account Manager,credential-access,Object Access,Registry,4663
T1003.003,NTDS,credential-access,Object Access,File System,4663
T1003.004,LSA Secrets,credential-access,Object Access,Registry,4663
T1003.007,Proc Filesystem,credential-access,Object Access,File System,4663
T1003.008,/etc/passwd and /etc/shadow,credential-access,Object Access,File System,4663
T1005,Data from Local System,collection,Object Access,File System,4663
T1011,Exfiltration Over Other Network Medium,exfiltration,Object Access,File System,4663
T1011.001,Exfiltration Over Bluetooth,exfiltration,Object Access,File System,4663
T1012,Query Registry,discovery,Object Access,Registry,4663
T1018,Remote System Discovery,discovery,Object Access,File System,4663
T1020,Automated Exfiltration,exfiltration,Object Access,File System,4663
T1025,Data from Removable Media,collection,Object Access,File System,4663
T1039,Data from Network Shared Drive,collection,Object Access,File System,4663
T1041,Exfiltration Over C2 Channel,exfiltration,Object Access,File System,4663
T1048,Exfiltration Over Alternative Protocol,exfiltration,Object Access,File System,4663
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,exfiltration,Object Access,File System,4663
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,exfiltration,Object Access,File System,4663
T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,exfiltration,Object Access,File System,4663
T1052,Exfiltration Over Physical Medium,exfiltration,Object Access,File System,4663
T1052.001,Exfiltration over USB,exfiltration,Object Access,File System,4663
T1055,Process Injection,defense-evasion; privilege-escalation,Object Access,Kernel Object,4663
T1055.001,Dynamic-link Library Injection,defense-evasion; privilege-escalation,Object Access,Kernel Object,4663
T1055.002,Portable Executable Injection,defense-evasion; privilege-escalation,Object Access,Kernel Object,4663
T1055.003,Thread Execution Hijacking,defense-evasion; privilege-escalation,Object Access,Kernel Object,4663
T1055.004,Asynchronous Procedure Call,defense-evasion; privilege-escalation,Object Access,Kernel Object,4663
T1055.005,Thread Local Storage,defense-evasion; privilege-escalation,Object Access,Kernel Object,4663
T1055.008,Ptrace System Calls,defense-evasion; privilege-escalation,Object Access,Kernel Object,4663
T1055.012,Process Hollowing,defense-evasion; privilege-escalation,Object Access,Kernel Object,4663
T1074,Data Staged,collection,Object Access,File System,4663
T1074.001,Local Data Staging,collection,Object Access,File System,4663
T1074.002,Remote Data Staging,collection,Object Access,File System,4663
T1087,Account Discovery,discovery,Object Access,File System,4663
T1087.001,Local Account,discovery,Object Access,File System,4663
T1091,Replication Through Removable Media,lateral-movement; initial-access,Object Access,File System,4663
T1114,Email Collection,collection,Object Access,File System,4663
T1114.001,Local Email Collection,collection,Object Access,File System,4663
T1119,Automated Collection,collection,Object Access,File System,4663
T1185,Browser Session Hijacking,collection,Object Access,Kernel Object,4663
T1187,Forced Authentication,credential-access,Object Access,File System,4663
T1217,Browser Bookmark Discovery,discovery,Object Access,File System,4663
T1539,Steal Web Session Cookie,credential-access,Object Access,File System,4663
T1539,Steal Web Session Cookie,credential-access,Object Access,Kernel Object,4663
T1552,Unsecured Credentials,credential-access,Object Access,File System,4663
T1552,Unsecured Credentials,credential-access,Object Access,Registry,4663
T1552.001,Credentials In Files,credential-access,Object Access,File System,4663
T1552.002,Credentials in Registry,credential-access,Object Access,Registry,4663
T1552.003,Bash History,credential-access,Object Access,File System,4663
T1552.004,Private Keys,credential-access,Object Access,File System,4663
T1552.006,Group Policy Preferences,credential-access,Object Access,File System,4663
T1552.007,Container API,credential-access,Object Access,File System,4663
T1555,Credentials from Password Stores,credential-access,Object Access,File System,4663
T1555,Credentials from Password Stores,credential-access,Object Access,Kernel Object,4663
T1555.001,Keychain,credential-access,Object Access,File System,4663
T1555.002,Securityd Memory,credential-access,Object Access,Kernel Object,4663
T1555.003,Credentials from Web Browsers,credential-access,Object Access,File System,4663
T1555.003,Credentials from Web Browsers,credential-access,Object Access,Kernel Object,4663
T1555.004,Windows Credential Manager,credential-access,Object Access,File System,4663
T1555.005,Password Managers,credential-access,Object Access,File System,4663
T1555.005,Password Managers,credential-access,Object Access,Kernel Object,4663
T1556,Modify Authentication Process,persistence; defense-evasion; credential-access,Object Access,Kernel Object,4663
T1556.001,Domain Controller Authentication,persistence; defense-evasion; credential-access,Object Access,Kernel Object,4663
T1558,Steal or Forge Kerberos Tickets,credential-access,Object Access,File System,4663
T1567,Exfiltration Over Web Service,exfiltration,Object Access,File System,4663
T1567.001,Exfiltration to Code Repository,exfiltration,Object Access,File System,4663
T1567.002,Exfiltration to Cloud Storage,exfiltration,Object Access,File System,4663
T1614.001,System Language Discovery,discovery,Object Access,Registry,4663
T1036,Masquerading,defense-evasion,Object Access,File System,4670
T1036.003,Rename System Utilities,defense-evasion,Object Access,File System,4670
T1037,Boot or Logon Initialization Scripts,persistence; privilege-escalation,Object Access,File System,4670
T1037.002,Logon Script (Mac),persistence; privilege-escalation,Object Access,File System,4670
T1037.003,Network Logon Script,persistence; privilege-escalation,Object Access,File System,4670
T1037.004,RC Scripts,persistence; privilege-escalation,Object Access,File System,4670
T1037.005,Startup Items,persistence; privilege-escalation,Object Access,File System,4670
T1053,Scheduled Task/Job,persistence; privilege-escalation; execution,Object Access,File System,4670
T1053.002,At (Windows),persistence; privilege-escalation; execution,Object Access,File System,4670
T1053.003,Cron,persistence; privilege-escalation; execution,Object Access,File System,4670
T1053.004,Launchd,persistence; privilege-escalation; execution,Object Access,File System,4670
T1053.005,Scheduled Task,persistence; privilege-escalation; execution,Object Access,File System,4670
T1053.006,Systemd Timers,persistence; privilege-escalation; execution,Object Access,File System,4670
T1055,Process Injection,defense-evasion; privilege-escalation,Object Access,File System,4670
T1055.009,Proc Memory,defense-evasion; privilege-escalation,Object Access,File System,4670
T1056,Input Capture,collection; credential-access,Object Access,File System,4670
T1056,Input Capture,collection; credential-access,Object Access,Registry,4670
T1056.001,Keylogging,collection; credential-access,Object Access,Registry,4670
T1056.003,Web Portal Capture,collection; credential-access,Object Access,File System,4670
T1070,Indicator Removal on Host,defense-evasion,Object Access,File System,4670
T1070,Indicator Removal on Host,defense-evasion,Object Access,Registry,4670
T1070.002,Clear Linux or Mac System Logs,defense-evasion,Object Access,File System,4670
T1070.003,Clear Command History,defense-evasion,Object Access,File System,4670
T1070.006,Timestomp,defense-evasion,Object Access,File System,4670
T1080,Taint Shared Content,lateral-movement,Object Access,File System,4670
T1098,Account Manipulation,persistence,Object Access,File System,4670
T1098.004,SSH Authorized Keys,persistence,Object Access,File System,4670
T1111,Two-Factor Authentication Interception,credential-access,Object Access,Registry,4670
T1112,Modify Registry,defense-evasion,Object Access,Registry,4670
T1137,Office Application Startup,persistence,Object Access,File System,4670
T1137,Office Application Startup,persistence,Object Access,Registry,4670
T1137.001,Office Template Macros,persistence,Object Access,File System,4670
T1137.001,Office Template Macros,persistence,Object Access,Registry,4670
T1137.002,Office Test,persistence,Object Access,File System,4670
T1137.002,Office Test,persistence,Object Access,Registry,4670
T1137.006,Add-ins,persistence,Object Access,File System,4670
T1137.006,Add-ins,persistence,Object Access,Registry,4670
T1140,Deobfuscate/Decode Files or Information,defense-evasion,Object Access,File System,4670
T1187,Forced Authentication,credential-access,Object Access,File System,4670
