service,action,AWS Service,Description,Resource type (console),resources.type,eventType,eventCategory,eventName,ACSC Recommended,ACSC Logging Condition
aco-automation,GetEnrollmentConfiguration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,ListAccounts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,ListAutomationEventSteps,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,ListAutomationEventSummaries,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,ListAutomationEvents,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,ListAutomationRulePreview,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,ListAutomationRulePreviewSummaries,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,ListAutomationRules,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,ListRecommendedActionSummaries,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,ListRecommendedActions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,ListTagsForResource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,RollbackAutomationEvent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,StartAutomationEvent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,TagResource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,UntagResource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,UpdateAutomationRule,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aco-automation,UpdateEnrollmentConfiguration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
action-recommendations,ListRecommendedActions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
activate,CreateForm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
activate,GetAccountContact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
activate,GetContentInfo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
activate,GetCosts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
activate,GetCredits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
activate,GetMemberInfo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
activate,GetProgram,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
activate,PutMemberInfo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
agent-registry,CreateRegistry,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
agent-registry,CreateRegistryRecord,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
agent-registry,DeleteRegistry,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
agent-registry,DeleteRegistryRecord,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
agent-registry,DeleteResourcePolicy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
agent-registry,GetDiscoverableRegistryRecord,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
agent-registry,GetRegistry,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
agent-registry,GetRegistryRecord,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
